iter	Passed	Remaining
0	0	26
1	0	24
2	0	22
3	0	22
4	1	22
5	1	22
6	1	22
7	1	21
8	2	21
9	2	20
10	2	20
11	2	19
12	2	19
13	3	19
14	3	19
15	3	18
16	3	18
17	3	18
18	4	17
19	4	17
20	4	17
21	4	17
22	5	17
23	5	17
24	5	17
25	5	16
26	6	16
27	6	16
28	6	16
29	6	15
30	7	15
31	7	15
32	7	15
33	7	15
34	7	14
35	8	14
36	8	14
37	8	14
38	8	13
39	9	13
40	9	13
41	9	12
42	9	12
43	9	12
44	9	12
45	10	11
46	10	11
47	10	11
48	10	11
49	11	11
50	11	10
51	11	10
52	11	10
53	11	10
54	12	9
55	12	9
56	12	9
57	12	9
58	13	9
59	13	8
60	13	8
61	13	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	16	6
71	16	6
72	16	6
73	16	5
74	16	5
75	17	5
76	17	5
77	17	4
78	17	4
79	17	4
80	18	4
81	18	4
82	18	3
83	18	3
84	19	3
85	19	3
86	19	2
87	19	2
88	19	2
89	20	2
90	20	2
91	20	1
92	20	1
93	21	1
94	21	1
95	21	0
96	21	0
97	22	0
98	22	0
99	22	0
